# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	1	0			
2020-01-29	4	0			
2020-01-30	4	0			
2020-01-31	5	0			
2020-02-01	7	0			
2020-02-02	8	0			
2020-02-03	9	0			
2020-02-04	11	0			
2020-02-05	11	0			
2020-02-06	11	0			
2020-02-07	12	0			
2020-02-08	13	0			
2020-02-09	13	0			
2020-02-10	13	0			
2020-02-11	13	0			
2020-02-12	15	0			
2020-02-13	15	0			
2020-02-14	15	0			
2020-02-15	15	0			
2020-02-16	15	0			
2020-02-17	15	0			
2020-02-18	15	0			
2020-02-19	15	0			
2020-02-20	15	0			
2020-02-21	15	0			
2020-02-22	15	0			
2020-02-23	15	0			
2020-02-24	15	0			
2020-02-25	15	0			
2020-02-26	17	0			
2020-02-27	21	0			
2020-02-28	47	0			
2020-02-29	57	0			
2020-03-01	111	0			
2020-03-02	129	0			
2020-03-03	157	0			
2020-03-04	196	0			
2020-03-05	262	0			
2020-03-06	400	0			
2020-03-07	684	0			
2020-03-08	847	0			
2020-03-09	902	0			
2020-03-10	1139	2			
2020-03-11	1296	2			
2020-03-12	1567	3			
2020-03-13	2369	5			
2020-03-14	3062	5			
2020-03-15	3795	8			
2020-03-16	4838	12			
2020-03-17	6012	13			
2020-03-18	7156	13			
2020-03-19	8198	13			
2020-03-20	14138	43			
2020-03-21	18187	45			
2020-03-22	21463	67			
2020-03-23	24774	94			
2020-03-24	29212	126			
2020-03-25	31554	149			
2020-03-26	36508	198			
2020-03-27	42288	253			
2020-03-28	48582	325			
2020-03-29	52547	389			
2020-03-30	57298	455			
2020-03-31	61913	583			
2020-04-01	67366	732			
2020-04-02	73522	872			
2020-04-03	79696	1017			
2020-04-04	85778	1158			
2020-04-05	91714	1342			
2020-04-06	95391	1434			
2020-04-07	99225	1607			
2020-04-08	103228	1861			
2020-04-09	108202	2107			
2020-04-10	113525	2373			
2020-04-11	117658	2544			
2020-04-12	120479	2673			
2020-04-13	123016	2799			
2020-04-14	125098	2969			
2020-04-15	127584	3254			
2020-04-16	130450	3569			
2020-04-17	133830	3868			
2020-04-18	137439	4110			
2020-04-19	139897	4294			
2020-04-20	141672	4404			
2020-04-21	143457	4598			
2020-04-22	145694	4879			
2020-04-23	148046	5094			
2020-04-24	150383	5321			
2020-04-25	152438	5500			
2020-04-26	154175	5640			
2020-04-27	155193	5750			
2020-04-28	156337	5913			
2020-04-29	157641	6115			
2020-04-30	159119	6288			
2020-05-01	160758	6481			
2020-05-02	161703	6575			
2020-05-03	162496	6649			
2020-05-04	163175	6692			
2020-05-05	163860	6831			
2020-05-06	164807	6996			
2020-05-07	166091	7119			
2020-05-08	167300	7266			
2020-05-09	168551	7369			
2020-05-10	169218	7395			
2020-05-11	169575	7417			
2020-05-12	170508	7533			
2020-05-13	171306	7634			
2020-05-14	172239	7723			
2020-05-15	173152	7824			
2020-05-16	173772	7881			
2020-05-17	174355	7914			
2020-05-18	174697	7935			
2020-05-19	175210	8007			
2020-05-20	176007	8090			
2020-05-21	176752	8147			
2020-05-22	177212	8174			
2020-05-23	177850	8216			
2020-05-24	178281	8247			
2020-05-25	178570	8257			
2020-05-26	179002	8302			
2020-05-27	179364	8349			
2020-05-28	179717	8411			
2020-05-29	180458	8450			
2020-05-30	181196	8489			
2020-05-31	181482	8500			
2020-06-01	181815	8511			
2020-06-02	182028	8522			
2020-06-03	182370	8551			
2020-06-04	182764	8581			
2020-06-05	183271	8613			
2020-06-06	183678	8646			
2020-06-07	183979	8668			
2020-06-08	184193	8674			
2020-06-09	184543	8711			
2020-06-10	184861	8729			
2020-06-11	185416	8755			
2020-06-12	185674	8763			
2020-06-13	186022	8781			
2020-06-14	186269	8787			
2020-06-15	186461	8791			
2020-06-16	186839	8800			
2020-06-17	187184	8830			
2020-06-18	187764	8856			
2020-06-19	188534	8872			
2020-06-20	189135	8882			
2020-06-21	189822	8882			
2020-06-22	190359	8885			
2020-06-23	190862	8895			
2020-06-24	191449	8914			
2020-06-25	192079	8927			
2020-06-26	192556	8948			
2020-06-27	193243	8954			
2020-06-28	193499	8957			
2020-06-29	193761	8961			
2020-06-30	194259	8973			
2020-07-01	194725	8985			
2020-07-02	195228	8994			
2020-07-03	195674	9003			
2020-07-04	196096	9010			
2020-07-05	196335	9012			
2020-07-06	196554	9016			
2020-07-07	196944	9024			
2020-07-08	197341	9036			
2020-07-09	197783	9048			
2020-07-10	198178	9054			
2020-07-11	198556	9060			
2020-07-12	198804	9063			
2020-07-13	198963	9064			
2020-07-14	199375	9068			
2020-07-15	199726	9071			
2020-07-16	200260	9078			
2020-07-17	200843	9082			
2020-07-18	201372	9083			
2020-07-19	201574	9084			
2020-07-20	201823	9086			
2020-07-21	202345	9090			
2020-07-22	202799	9095			
2020-07-23	203368	9101			
2020-07-24	204183	9111			
2020-07-25	204964	9118			
2020-07-26	205269	9118			
2020-07-27	205609	9118			
2020-07-28	206242	9122			
2020-07-29	206926	9128			
2020-07-30	207828	9134			
2020-07-31	208698	9141			
2020-08-01	209653	9141			
2020-08-02	209893	9141			
2020-08-03	210402	9148			
2020-08-04	211281	9156			
2020-08-05	212022	9168			
2020-08-06	213067	9175			
2020-08-07	214214	9183			
2020-08-08	215336	9195			
2020-08-09	215891	9196			
2020-08-10	216327	9197			
2020-08-11	217293	9201			
2020-08-12	218519	9207			
2020-08-13	219964	9211			
2020-08-14	221413	9225			
2020-08-15	222828	9231			
2020-08-16	223453	9231			
2020-08-17	224014	9232			
2020-08-18	225404	9236			
2020-08-19	226914	9243			
2020-08-20	228621	9253			
2020-08-21	230048	9260			
2020-08-22	232082	9267			
2020-08-23	232864	9269			
2020-08-24	233575	9272			
2020-08-25	234853	9277			
2020-08-26	236429	9280			
2020-08-27	237936	9285			
2020-08-28	239507	9288			
2020-08-29	240986	9289			
2020-08-30	241771	9295			
2020-08-31	242381	9298			
2020-09-01	243599	9302			
2020-09-02	244855	9313			
2020-09-03	246166	9321			
2020-09-04	247619	9322			
2020-09-05	248997	9324			
2020-09-06	249985	9325			
2020-09-07	250799	9325			
2020-09-08	252298	9329			
2020-09-09	253474	9338			
2020-09-10	255366	9341			
2020-09-11	256850	9342			
2020-09-12	258480	9347			
2020-09-13	259428	9349			
2020-09-14	260355	9350			
2020-09-15	261762	9362			
2020-09-16	263663	9368			
2020-09-17	265857	9371			
2020-09-18	267773	9378			
2020-09-19	270070	9384			
2020-09-20	271415	9386			
2020-09-21	272337	9386			
2020-09-22	274158	9396			
2020-09-23	275927	9409			
2020-09-24	278070	9428			
2020-09-25	280223	9443			
2020-09-26	282730	9452			
2020-09-27	284140	9457			
2020-09-28	285332	9460			
2020-09-29	287421	9471			
2020-09-30	289219	9488			
2020-10-01	291722	9500			
2020-10-02	294395	9508			
2020-10-03	296958	9527			
2020-10-04	299237	9529			
2020-10-05	300619	9534			
2020-10-06	303258	9546			
2020-10-07	306086	9562			
2020-10-08	310144	9578			
2020-10-09	314660	9589			
2020-10-10	319381	9604			
2020-10-11	322864	9615			
2020-10-12	325331	9621			
2020-10-13	329453	9634			
2020-10-14	334585	9677			
2020-10-15	341223	9710			
2020-10-16	348557	9734			
2020-10-17	356387	9767			
2020-10-18	361974	9777			
2020-10-19	366299	9789			
2020-10-20	373167	9836			
2020-10-21	380762	9875			
2020-10-22	392049	9905			
2020-10-23	403291	9954			
2020-10-24	418005	10003			
2020-10-25	429181	10032			
2020-10-26	437866	10056			
2020-10-27	449275	10098			
2020-10-28	464239	10183			
2020-10-29	481013	10272			
2020-10-30	499694	10349			
2020-10-31	518753	10452			
2020-11-01	532930	10481			
2020-11-02	545027	10530			
2020-11-03	560379	10661			
2020-11-04	577593	10812			
2020-11-05	597583	10930			
2020-11-06	619089	11096			
2020-11-07	642488	11226			
2020-11-08	658505	11289			
2020-11-09	671868	11352			
2020-11-10	687200	11506			
